District,THROUGHCONTACT,IMPORT(Travelled to Kerala),TOTAL
 MPM,1494,32297
TVM,2891,16456
KKD,1067,13511
EKM,1174,12182
PKD,706,10975
TSR,476,9228
KTM,448,9067
KNR,433,8494
KLM,707,6521
ALP,1182,5738
PTA,213,4963
KGD,1078,3910
IDK,219,3605
WYD,338,2379
