District,THROUGHCONTACT,IMPORT(Travelled to Kerala),TOTAL
TVM,1797,349,2146
KLM,273,505,778
PTA,247,587,834
ALP,411,578,989
KTM,108,368,476
IDK,123,259,382
EKM,570,403,973
TSR,199,624,823
PKD,139,992,1131
MPM,258,968,1226
KKD,246,417,663
WYD,41,227,268
KNR,171,717,888
KGD,337,566,903
Total,4920,7560,12480
