Sl. No.,District,LSGs needing special attention,Containment Zones - ward
149,Alappuzha,Thanneermukkam,All wards
150,Alappuzha,Mararikkulam North,All wards
151,Alappuzha,Kanjikkuzhy,All wards
152,Alappuzha,Muhamma,All wards
153,Alappuzha,Ramankari,9
154,Alappuzha,Thrikkunnapuzha,All Wards
155,Alappuzha,Krishnapuram,1, 2, 3
156,Alappuzha,Ambalappuzha North,1, 2, 18
157,Alappuzha,Devikulangara,13
158,Alappuzha,Thazhakkara,21
159,Alappuzha,Mararikkulam South,15, 16, 17, 19, 21
160,Alappuzha,Thripparuthura,5
161,Alappuzha,Chengannur (M),4, 23
162,Alappuzha,Mannanchery,2, 3, 14, 17, 19, 20
163,Alappuzha,Pallippad,10, 11
164,Alappuzha,Kavalam,1, 2, 3, 4 , 5, 6, 7, 8, 9
165,Alappuzha,Purakkad,18
166,Alappuzha,Punnapra North,16
167,Alappuzha,Nilamperoor,1, 2, 3, 4
168,Ernakulam,Kochi ©,1, 2, 3, 5, 6, 8, 9, 11(Thoppumpady Fishing Harbour ), 20, 24,28, 31, 36, 38, 40, 43, 44,46, 52(Star Homes apartment )55, 56, 69,67 (Ernakulam Market), 71, 72
169,Ernakulam,Kanjoor,1, 12
170,Ernakulam,Chellanam,All Wards
171,Ernakulam,Piravam (M),17
172,Ernakulam,Paingottur,5
173,Ernakulam,Paravoor (M),8
174,Ernakulam,Kadungalloor,7, 8
175,Ernakulam,Thrikkakkara (M),5, 6, 12, 28(Sub Ward)
176,Ernakulam,Aluva (M),All Divisions
177,Ernakulam,Keezhumad,All Wards
178,Ernakulam,Edathala,All Wards
179,Ernakulam,Mulavukad,3
180,Ernakulam,Alangad,All Wards
181,Ernakulam,Choornikkara,All Wards
182,Ernakulam,Varappuzha,14 ( Market )
183,Ernakulam,Tripunithura (M),16, 19(Sub Ward), 50 (Grandeur westend palace,Poornathreya temple road )
184,Ernakulam,Chengamanad,All Wards
185,Ernakulam,Karumalloor,All Wards
186,Ernakulam,Sreemoolanagaram,4, 5
187,Ernakulam,Vazhakkulam,19
188,Ernakulam,Malayattoor-Neeleswaram,17
189,Ernakulam,Vadakkekkara,15
190,Ernakulam,Elankunnapuzha,14, 15 Kalamukku Market
191,Ernakulam,Moovattupuzha (M),1, 28 (Pezhakkappilly Market )
192,Ernakulam,Kumbalangi,5, 9
193,Ernakulam,Kalamassery (M),1, 2, 3, 6, 35,37
194,Ernakulam,Thiruvaniyoor,6
195,Ernakulam,Rayamangalam,13, 14
196,Ernakulam,Kavalangad,11
197,Ernakulam,Pallarimangalam,9
198,Ernakulam,Kuzhupilly,1
199,Ernakulam,Nedumbassery,7, 14, 15
200,Ernakulam,Chittattukara,3, 18
201,Ernakulam,Maradu (M),23, 24, 25
202,Ernakulam,Mulanthuruthy,7
203,Ernakulam,Kalady,5, 8
204,Ernakulam,Kumbalam,2
205,Ernakulam,Eloor,2
206,Ernakulam,Chennamangalam,9
207,Ernakulam,Manjapra,8
208,Ernakulam,Thuravur,7
209,Ernakulam,Cheranalloor,17
210,Ernakulam,Kottuvally,22
211,Ernakulam,Nellikuzhy,All Wards
212,Ernakulam,Kuttampuzha,4, 5, 14, 15,16
213,Ernakulam,Ezhikkara,8, 9
214,Palakkad,Koppam,All Wards
215,Palakkad,Elappully,14
216,Palakkad,Perumatti,2
217,Palakkad,Thiruvegappura,All Wards
218,Palakkad,Vaniyamkulam,6
219,Palakkad,Kozhinjampara,8
220,Palakkad,Thrithala,All Wards
221,Palakkad,Shornur,5, 12, 13, 15, 16, 17, 20, 21, 24, 28, 30, 21, 32
222,Palakkad,Kulukkallur,All Wards
223,Palakkad,Nellaya,All Wards
224,Palakkad,Vallappuzha,All Wards
225,Palakkad,Alanalloor,17
226,Palakkad,Pallassana,8
227,Palakkad,Ongallur,All Wards
228,Palakkad,Karakkurissi,6, 12
229,Palakkad,Kanjirappuzha,1, 13
230,Palakkad,Peringottukurissi,4, 5, 7
231,Palakkad,Kumaramputhur,9, 10, 11, 12, 16
232,Palakkad,Peruvemb,1
233,Palakkad,Thengara,5
234,Palakkad,Nenmara,5
235,Palakkad,Pattambi (M),All Wards
236,Palakkad,Ottappalam (M),18
237,Palakkad,Muthuthala,All Wards
238,Palakkad,Vilayoor,All Wards
239,Palakkad,Paruthoor,All Wards
240,Palakkad,Pattithara,All Wards
241,Palakkad,Kappoor,All Wards
242,Palakkad,Anakkara,All Wards
243,Palakkad,Chalissery,All Wards
244,Palakkad,Nagalassery,All Wards
245,Palakkad,Thirumittikkode,All Wards
246,Palakkad,Marutharoad,10
247,Palakkad,Koduvayoor,4, 6
248,Palakkad,Puthussery,3
249,Palakkad,Pattanchery,15
250,Thrissur,Kunnamkulam (M),11, 19 , 22, 25
251,Thrissur,Mooriyad,All Wards
252,Thrissur,Iringalakkuda (M),All Divisions
253,Thrissur,Velukkara,1, 3, 7, 17, 18
254,Thrissur,Aloor,1, 17
255,Thrissur,Thannyam,All Wards
256,Thrissur,Kadavalloor,12, 13, 15, 16, 17
257,Thrissur,Karalam,13, 14
258,Thrissur,Thrissur ©,40, 44
259,Thrissur,Thrikkoor,7, 8, 12, 13
260,Thrissur,Poomangalam,8
261,Thrissur,Varavoor,2, 3, 4, 8, 9, 10, 11, 12
262,Thrissur,Choondal,4, 6, 7, 8, 14
263,Thrissur,Panjal,12, 13
264,Thrissur,Mattathur,6, 7, 10, 11, 14, 15, 21
265,Thrissur,Erumappetty,9
266,Thrissur,Porkkulam,3, 9, 10, 11
267,Thrissur,Chelakkara,3, 17, 20, 21, 22
268,Thrissur,Alagappanagar,7, 11
269,Thrissur,Puthanchira,5, 6, 7
270,Thrissur,Varantharappally,4, 9, 13
271,Thrissur,Deshamangalam,11, 13, 14, 15
272,Thrissur,Mala,All Wards
273,Thrissur,Kodassery,3, 4
274,Thrissur,Mathilakam,14, 15
275,Thrissur,Thiruvillwamala,10
276,Thrissur,Padiyur,1, 13, 14
277,Thrissur,Kodakara,2
278,Thrissur,Pavaratty,3
279,Thrissur,Madakkathara,6, 7, 8, 14
280,Thrissur,Puthur,3
281,Thrissur,Kodungalloor (M),31
282,Thrissur,Nenmanikkara,6, 7
283,Thrissur,Parappookkara,1, 2, 3, 17, 18
284,Thrissur,Vadakkanchery (M),10,11,16,17,20
285,Thrissur,Edavilang,7
286,Thrissur,Vallachira,14
287,Thrissur,Cherpp,17, 18
288,Thrissur,Sreenarayanapuram,9, 12, 13
289,Thrissur,Venkidang,3, 10, 11
290,Thrissur,Perinjanam,12
291,Thrissur,Avinissery,13
292,Thrissur,Eriyad,1,8, 22, 23
293,Thrissur,Chalakkudy (M),1, 4, 19, 20, 21
294,Thrissur,Valappad,13
295,Thrissur,Edathuruthy,9
296,Thrissur,Kaypamangalam,12
297,Thrissur,Mala,7, 8, 9, 10, 11, 14, 15, 17, 20
298,Thrissur,Kadappuram,6, 7, 10
299,Thrissur,Kadukutty,1, 9, 16
300,Kozhikode,Kozhikode ©,2,8, 9, 11,12,13,16, 27, 29, 35,37, 38, 39, 41, 45, 47,49, 51, 55, 56, 57, 58, 59,63(Sub ward) 66, 74
301,Kozhikode,Nadapuram,All Wards
302,Kozhikode,Tuneri,All Wards
303,Kozhikode,Vadakara (M),All Wards
304,Kozhikode,Villiappally,All Wards
305,Kozhikode,Perambra,17, 18, 19
306,Kozhikode,Changaroth,14, 15, 19
307,Kozhikode,Ayanchery,All Wards
308,Kozhikode,Kunnamangalam,1, 21
309,Kozhikode,Puthuppadi,All Wards
310,Kozhikode,Omassery,7, 8, 9, 10
311,Kozhikode,Olavanna,All Wards
312,Kozhikode,Eramala,All Wards
313,Kozhikode,Azhiyur,All Wards
314,Kozhikode,Edachery,All Wards
315,Kozhikode,Koyilandi (M),All Wards
316,Kozhikode,Chekyad,All Wards
317,Kozhikode,Chengottukavu,17
318,Kozhikode,Chorod,7, 8, 18
319,Kozhikode,Purameri,All Wards
320,Kozhikode,Perumanna,All Wards
321,Kozhikode,Peruvayal,11
322,Kozhikode,Maniyoor,All Wards
323,Kozhikode,Moodadi,4, 5
324,Kozhikode,Valayam,1, 11, 12, 13, 14
325,Kozhikode,Vaanimel,All Wards
326,Kozhikode,Velam,8, 9
327,Kozhikode,Chelannur,3, 7
328,Kozhikode,Thiruvalloor,All Wards
329,Kozhikode,Thamarassery,9
330,Kozhikode,Mukkom,29, 30
331,Kozhikode,Kodiyathur,5, 6
332,Kozhikode,Mavoor,2, 4
333,Kozhikode,Kakkodi,10
334,Kozhikode,Kakkoor,12
335,Kozhikode,Onchiyam,14, 15
336,Kozhikode,Meppayoor,All Wards
337,Kozhikode,Kodanchery,All Wards
338,Kozhikode,Ramanattukara (M),14
339,Kozhikode,Unnikulam,1, 14, 23
340,Kozhikode,Kayakkodi,All Wards
341,Kozhikode,Thikkodi,7
342,Kozhikode,Payyoli (M),31
343,Kozhikode,Kadalundi,20
344,Kozhikode,Maruthongara,2
345,Kozhikode,Puthuppady,All Wards
346,Thiruvananthapuram,Thiruvananthapuram (C),All Wards
347,Thiruvananthapuram,Parasala,All wards
348,Thiruvananthapuram,Karode,1, 2, 3,4, 8, 13, 19
349,Thiruvananthapuram,Anchuthengu,All Wards
350,Thiruvananthapuram,Chirayinkeezhu,All Wards
351,Thiruvananthapuram,Azhoor,15,18
352,Thiruvananthapuram,Poovachal,3, 5, 17, 18, 22
353,Thiruvananthapuram,Vilappil,10, 20
354,Thiruvananthapuram,Karumkulam,All Wards
355,Thiruvananthapuram,Chenkal,3, 4, 12, 13, 14
356,Thiruvananthapuram,Panavoor,4, 7, 10,11
357,Thiruvananthapuram,Kunnathukal,All wards
358,Thiruvananthapuram,Kulathur,All Wards
359,Thiruvananthapuram,Perumkadavila,All Wards
360,Thiruvananthapuram,Kollayil,9, 12, 16
361,Thiruvananthapuram,Nellanad,7
362,Thiruvananthapuram,Kallara,8, 9, 10, 11, 12
363,Thiruvananthapuram,Vembayam,1, 18
364,Thiruvananthapuram,Pangode,8
365,Thiruvananthapuram,Neyyattinkara (M),4, 11, 19, 39
366,Thiruvananthapuram,Balaramapuram,5, 7, 13, 15
367,Thiruvananthapuram,Kilimanoor,12
368,Thiruvananthapuram,Peringammala,1, 16,17, 18, 19
369,Thiruvananthapuram,Karakulam,4, 15, 16
370,Thiruvananthapuram,Edava,All Wards
371,Thiruvananthapuram,Vettoor,All Wards
372,Thiruvananthapuram,Vakkom,All Wards
373,Thiruvananthapuram,Kadakkavoor,All Wards
374,Thiruvananthapuram,Kadinamkulam,All Wards
375,Thiruvananthapuram,kottukal,All Wards
376,Thiruvananthapuram,Poovar,All Wards
377,Thiruvananthapuram,Varkkala (M),All Coastal Wards
378,Thiruvananthapuram,Nanniyode,4, 12
379,Thiruvananthapuram,Kattakkada,4, 16, 17
380,Thiruvananthapuram,Venganoor,9
381,Thiruvananthapuram,Kuttiyani,15
382,Thiruvananthapuram,Neduveli,18
383,Thiruvananthapuram,Pallichal,3, 4
384,Thiruvananthapuram,Karavaram,6
385,Kasargode,Ajanur,1, 4, 6, 15, 16
386,Kasargode,Badiadka,1, 2, 12, 15, 18, 19
387,Kasargode,Balal,2, 3, 11, 14
388,Kasargode,Bellur,10, 11
389,Kasargode,Chemnad,1, 2, 5, 7, 8, 9, 11, 13, 18, 22
390,Kasargode,Chengala,4, 5, 7, 8, 9, 10,11, 13, 14, 20 ,21, 23
391,Kasargode,Cheruvathur,4, 17
392,Kasargode,East Eleri,14, 15
393,Kasargode,Enmakaje,9
394,Kasargode,Kallar,3, 9, 10, 11
395,Kasargode,Kanhangad (M),1, 24, 28, 29
396,Kasargode,Karadka,4, 5, 6, 11
397,Kasargode,Kasargod (M),2, 3, 7, 12, 14, 16, 21, 27, 28, 29, 34
398,Kasargode,Kinanoor Karinthalam,14, 15, 16
399,Kasargode,Kodom Belur,1,3, 5, 12, 18
